Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000141522	ARHGDIA	GDIA1,RHOGDI	Rho GDP dissociation inhibitor (GDI) alpha
ENSG00000076928	ARHGEF1	LBCL2,P115-RHOGEF,SUB1.5	Rho guanine nucleotide exchange factor (GEF) 1
ENSG00000132694	ARHGEF11	GTRAP48,KIAA0380,PDZ-RHOGEF	Rho guanine nucleotide exchange factor (GEF) 11
ENSG00000116584	ARHGEF2	GEF-H1,KIAA0651,LFP40,P40	Rho/Rac guanine nucleotide exchange factor (GEF) 2
ENSG00000050327	ARHGEF5	GEF5,P60,TIM,TIM1	Rho guanine nucleotide exchange factor (GEF) 5
ENSG00000117713	ARID1A	B120,BAF250,BAF250a,C10rf4,C1orf4,P270,SMARCF1	AT rich interactive domain 1A (SWI-like)
ENSG00000196843	ARID5A	MRF-1,RP11-363D14	AT rich interactive domain 5A (MRF1-like)
ENSG00000150347	ARID5B	FLJ21150,MRF2	AT rich interactive domain 5B (MRF1-like)
ENSG00000177917	ARL6IP6	MGC33864	ADP-ribosylation-like factor 6 interacting protein 6
ENSG00000125449	ARMC7	FLJ22160	armadillo repeat containing 7
ENSG00000163466	ARPC2	ARC34,p34-Arc	actin related protein 2/3 complex, subunit 2, 34kDa
ENSG00000214435	AS3MT	CYT19	arsenic (+3 oxidation state) methyltransferase
ENSG00000070669	ASNS		asparagine synthetase (glutamine-hydrolyzing)
ENSG00000108381	ASPA	ACY2,ASP	aspartoacylase (Canavan disease)
ENSG00000106819	ASPN	FLJ20129,PLAP1,SLRR1C	asporin
ENSG00000169696	ASPSCR1	ASPL,ASPS,UBXD9,UBXN9	alveolar soft part sarcoma chromosome region, candidate 1
ENSG00000156802	ATAD2	DKFZp667N1320,MGC29843,MGC5254,PRO2000	ATPase family, AAA domain containing 2
ENSG00000115966	ATF2	CRE-BP1,CREB2,HB16,TREB7	activating transcription factor 2
ENSG00000171681	ATF7IP	FLJ10688,p621	activating transcription factor 7 interacting protein
ENSG00000197548	ATG7	APG7L,DKFZp434N0735,GSA7	ATG7 autophagy related 7 homolog (S. cerevisiae)
ENSG00000138363	ATIC	AICARFT,IMPCHASE,PURH	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ENSG00000149311	ATM	ATA,ATC,ATD,ATDC,TEL1,TELO1	ataxia telangiectasia mutated
ENSG00000070961	ATP2B1	PMCA1	ATPase, Ca++ transporting, plasma membrane 1
ENSG00000110955	ATP5B	ATPSB	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
ENSG00000033627	ATP6V0A1	a1,ATP6N1,ATP6N1A,Stv1,Vph1,VPP1	ATPase, H+ transporting, lysosomal V0 subunit a1
ENSG00000047249	ATP6V1H	CGI-11,SFD,SFDalpha,SFDbeta,VMA13	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H
ENSG00000165240	ATP7A	MNK	ATPase, Cu++ transporting, alpha polypeptide
ENSG00000123191	ATP7B	WND	ATPase, Cu++ transporting, beta polypeptide
ENSG00000081923	ATP8B1	ATPIC,BRIC,FIC1,PFIC,PFIC1	ATPase, aminophospholipid transporter, class I, type 8B, member 1
ENSG00000171953	ATPAF2	ATP12,Atp12p,LP3663,MGC29736	ATP synthase mitochondrial F1 complex assembly factor 2
ENSG00000085224	ATRX	RAD54,XH2,XNP	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
ENSG00000115307	AUP1		ancient ubiquitous protein 1
ENSG00000169857	AVEN	PDCD12	apoptosis, caspase activation inhibitor
ENSG00000175711	B3GNTL1	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1
ENSG00000136881	BAAT	BAT	bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase)
ENSG00000002330	BAD	BBC2,BCL2L8	BCL2-associated agonist of cell death
ENSG00000166170	BAG5		BCL2-associated athanogene 5
ENSG00000175866	BAIAP2	BAP2	BAI1-associated protein 2
ENSG00000006453	BAIAP2L1	IRTKS	BAI1-associated protein 2-like 1
ENSG00000125492	BARHL1		BarH-like homeobox 1
ENSG00000204463	BAT3	D6S52E,G3	Large proline-rich protein BAT3 (HLA-B-associated transcript 3)(Protein G3)
ENSG00000204438	BAT4	ANKRD59,D6S54E,G5,GPANK1,GPATCH10	Protein BAT4 (HLA-B-associated transcript 4)(Protein G5)(G patch domain-containing protein 10)(Ankyrin repeat domain-containing protein 59)
ENSG00000087088	BAX	BCL2L4	BCL2-associated X protein
ENSG00000198604	BAZ1A	ACF1,hACF1,WALp1,WCRF180	bromodomain adjacent to zinc finger domain, 1A
ENSG00000185825	BCAP31	6C6-Ag,BAP31,CDM,DXS1357E	B-cell receptor-associated protein 31
ENSG00000029363	BCLAF1	BTF,KIAA0164	BCL2-associated transcription factor 1
ENSG00000185963	BICD2	KIAA0699	bicaudal D homolog 2 (Drosophila)
ENSG00000110330	BIRC2	API1,c-IAP1,cIAP1,hiap-2,MIHB,RNF48	baculoviral IAP repeat-containing 2
ENSG00000095585	BLNK	BLNK-s,LRG_21,Ly57,SLP-65,SLP65	B-cell linker
ENSG00000117475	BLZF1	JEM-1	basic leucine zipper nuclear factor 1
ENSG00000176171	BNIP3	Nip3	BCL2/adenovirus E1B 19kDa interacting protein 3
ENSG00000104765	BNIP3L	BNIP3a,Nix	BCL2/adenovirus E1B 19kDa interacting protein 3-like
ENSG00000172331	BPGM		2,3-bisphosphoglycerate mutase
ENSG00000137948	BRDT	BRD6,CT9	bromodomain, testis-specific
ENSG00000104221	BRF2	BRFU,FLJ11052,TFIIIB50	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like
ENSG00000188909	BSX		brain-specific homeobox
ENSG00000111801	BTN3A3	BTF3	butyrophilin, subfamily 3, member A3
ENSG00000154473	BUB3	BUB3L	budding uninhibited by benzimidazoles 3 homolog (yeast)
ENSG00000106245	BUD31	EDG-2,EDG2,fSAP17,G10,YCR063W	BUD31 homolog (S. cerevisiae)
ENSG00000165813	C10orf118	FLJ10188,FLJ35301	Uncharacterized protein C10orf118 (CTCL tumor antigen HD-CL-01/L14-2)
ENSG00000162194	C11orf48	MGC2477	Uncharacterized protein C11orf48 
ENSG00000149357	C11orf59	FLJ20625	RhoA activator C11orf59 (p27Kip1-releasing factor from RhoA)(p27RF-Rho)
ENSG00000134548	C12orf39	MGC10946	Spexin Precursor (NPQ)
ENSG00000165506	C14orf104	FLJ10563,KTU	Protein kintoun 
ENSG00000182685	C16orf79	MGC21830	BRICHOS domain-containing protein C16orf79 
ENSG00000184361	C17orf46	FLJ25414	Uncharacterized protein C17orf46 
ENSG00000161939	C17orf49	MGC49942	MLL1/MLL complex subunit C17orf49 
ENSG00000185504	C17orf70	FLJ22175	Fanconi anemia-associated protein of 100 kDa 
ENSG00000141219	C17orf80	FLJ20721,HLC-8,MIG3	Uncharacterized protein C17orf80 (Human lung cancer oncogene 8 protein)(HLC-8)(Cell migration-inducing gene 3 protein)
ENSG00000170291	C17orf81	DERP6	Dermal papilla-derived protein 6 (S-phase 2 protein)
ENSG00000106392	C1GALT1	C1GALT,T-synthase	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
ENSG00000163362	C1orf106	FLJ10901	Uncharacterized protein C1orf106 
ENSG00000000460	C1orf112	FLJ10706	Uncharacterized protein C1orf112 
ENSG00000178395	C1orf65	FLJ35728	Uncharacterized protein C1orf65 
ENSG00000160679	C1orf77	DKFZP547E1010,SRAG	Uncharacterized protein C1orf77 
ENSG00000101474	C20orf3	BSCv	Adipocyte plasma membrane-associated protein (Protein BSCv)
ENSG00000100220	C22orf28	HSPC117	UPF0027 protein C22orf28 
ENSG00000189269	C22orf43		Putative uncharacterized protein C22orf43 
ENSG00000170271	C5orf4	FLJ13758	Uncharacterized protein C5orf4 
ENSG00000146476	C6orf211	FLJ12910	UPF0364 protein C6orf211 
ENSG00000055211	C6orf72	dJ12G14.2	Uncharacterized protein C6orf72 Precursor 
ENSG00000175600	C7orf10	DERP13,FLJ11808,ORF19	CaiB/baiF CoA-transferase family protein C7orf10 (EC 2.-.-.-)(Dermal papilla-derived protein 13)
ENSG00000188707	C7orf29		Uncharacterized protein C7orf29 
ENSG00000156928	C7orf30		Uncharacterized protein C7orf30 
ENSG00000165120	C7orf45	FLJ40316	Uncharacterized protein C7orf45 
ENSG00000166924	C7orf51	FLJ37538	Uncharacterized protein C7orf51 
ENSG00000129696	C8orf41	FLJ23263	Uncharacterized protein C8orf41 
ENSG00000148057	C9orf103	bA522I20.2	Probable gluconokinase (EC 2.7.1.12)(Gluconate kinase)
ENSG00000204930	C9orf128		Uncharacterized protein C9orf128 
ENSG00000171159	C9orf16	EST00098,FLJ12823,MGC4639	UPF0184 protein C9orf16 
ENSG00000197191	C9orf169	MGC59937	UPF0574 protein C9orf169 
ENSG00000203993	C9orf37		Uncharacterized protein C9orf37 
ENSG00000157653	C9orf43	MGC17358	Uncharacterized protein C9orf43 
ENSG00000136819	C9orf78	HSPC220	Uncharacterized protein C9orf78 (Hepatocellular carcinoma-associated antigen 59)
ENSG00000148153	C9orf80	HSPC043	SOSS complex subunit C (Sensor of single-strand DNA complex subunit C)(Sensor of ssDNA subunit C)(SOSS-C)(Single-stranded DNA-binding protein-interacting protein 1)(SSB-interacting protein 1)(hSSBIP1)
ENSG00000157693	C9orf91	DKFZp547P234,FLJ38045	Transmembrane protein C9orf91 
ENSG00000165695	C9orf98	FLJ32704	Putative adenylate kinase-like protein C9orf98 (EC 2.7.4.3)
ENSG00000185015	CA13	CAXIII,FLJ37995,MGC59868	carbonic anhydrase XIII
ENSG00000084774	CAD		carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
ENSG00000136436	CALCOCO2	MGC17318,NDP52	calcium binding and coiled-coil domain 2
ENSG00000122786	CALD1	CDM,H-CAD,L-CAD	caldesmon 1
ENSG00000138172	CALHM2	FAM26B	calcium homeostasis modulator 2
ENSG00000183128	CALHM3	bA225H22.7,FAM26A	calcium homeostasis modulator 3
ENSG00000143933	CALM2	CAMII,PHKD	calmodulin 2 (phosphorylase kinase, delta)
ENSG00000179218	CALR	cC1qR,CRT,FLJ26680,RO,SSA	calreticulin
ENSG00000128595	CALU		calumenin
ENSG00000183049	CAMK1D	CKLiK	calcium/calmodulin-dependent protein kinase ID
ENSG00000008118	CAMK1G	CLICKIII,dJ272L16.1,VWS1	calcium/calmodulin-dependent protein kinase IG
ENSG00000130559	CAMSAP1	DKFZp434F195,FLJ31228	calmodulin regulated spectrin-associated protein 1
ENSG00000171302	CANT1	SCAN-1,SHAPY	calcium activated nucleotidase 1
ENSG00000127022	CANX	CNX,IP90,P90	calnexin
ENSG00000131236	CAP1	CAP	CAP, adenylate cyclase-associated protein 1 (yeast)
ENSG00000126247	CAPNS1	30K,CANP,CANPS,CAPN4,CDPS	calpain, small subunit 1
ENSG00000141527	CARD14	BIMP2,CARMA2	caspase recruitment domain family, member 14
ENSG00000147044	CASK	CAGH39,FGS4,LIN2,TNRC8	calcium/calmodulin-dependent serine protein kinase (MAGUK family)
ENSG00000138794	CASP6	MCH2	caspase 6, apoptosis-related cysteine peptidase
ENSG00000064012	CASP8	Casp-8,FLICE,MACH,MCH5	caspase 8, apoptosis-related cysteine peptidase
ENSG00000087589	CASS4	C20orf32,HEFL,HEPL	Cas scaffolding protein family member 4
ENSG00000105974	CAV1	CAV	caveolin 1, caveolae protein, 22kDa
ENSG00000114423	CBLB	RNF56	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
ENSG00000159231	CBR3	SDR21C2	carbonyl reductase 3
ENSG00000108468	CBX1	CBX,HP1-BETA,HP1Hs-beta,M31,MOD1	chromobox homolog 1 (HP1 beta homolog Drosophila )
ENSG00000122565	CBX3	HP1Hs-gamma	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
ENSG00000141582	CBX4	hPC2,NBP16,PC2	chromobox homolog 4 (Pc class homolog, Drosophila)
ENSG00000094916	CBX5	HP1,HP1-ALPHA,HP1Hs-alpha	chromobox homolog 5 (HP1 alpha homolog, Drosophila)
ENSG00000132024	CC2D1A	FLJ20241,MRT3	coiled-coil and C2 domain containing 1A
ENSG00000060339	CCAR1	CARP-1,CARP1,FLJ10590	cell division cycle and apoptosis regulator 1
ENSG00000171097	CCBL1	GTK,KATI	cysteine conjugate-beta lyase, cytoplasmic
ENSG00000137944	CCBL2	KAT3,RBM1,RP11-82K18.3	cysteine conjugate-beta lyase 2
ENSG00000163001	CCDC104	MGC15407	coiled-coil domain containing 104
ENSG00000161609	CCDC155	FLJ32658	coiled-coil domain containing 155
ENSG00000147419	CCDC25	FLJ10853	coiled-coil domain containing 25
ENSG00000126653	CCDC55	DKFZP434K1421	coiled-coil domain containing 55
ENSG00000176155	CCDC57	FLJ00130,FLJ23754	coiled-coil domain containing 57
ENSG00000108091	CCDC6	D10S170,H4,PTC,TPC,TST1	coiled-coil domain containing 6
ENSG00000108691	CCL2	GDCF-2,HC11,MCAF,MCP-1,MCP1,MGC9434,SCYA2,SMC-CF	chemokine (C-C motif) ligand 2
ENSG00000136280	CCM2	C7orf22,MGC4607	cerebral cavernous malformation 2
ENSG00000105173	CCNE1	CCNE	cyclin E1
ENSG00000129315	CCNT1	CCNT,CYCT1,HIVE1	cyclin T1
ENSG00000082258	CCNT2		cyclin T2
ENSG00000166226	CCT2	Cctb	chaperonin containing TCP1, subunit 2 (beta)
ENSG00000163468	CCT3	Cctg,TRIC5	chaperonin containing TCP1, subunit 3 (gamma)
ENSG00000156261	CCT8	C21orf112,Cctq,PRED71	chaperonin containing TCP1, subunit 8 (theta)
ENSG00000177697	CD151	PETA-3,RAPH,SFA-1,TSPAN24	CD151 molecule (Raph blood group)
ENSG00000103855	CD276	B7-H3,B7H3	CD276 molecule
ENSG00000167851	CD300A	CMRF-35-H9,CMRF35H,IGSF12,IRC1,IRC2,Irp60	CD300a molecule
ENSG00000026508	CD44	CD44R,CSPG8,HCELL,IN,MC56,MDU2,MDU3,MIC4,Pgp1	CD44 molecule (Indian blood group)
ENSG00000085063	CD59	16.3A5,EJ16,EJ30,EL32,G344,MIC11,MIN1,MIN2,MIN3,MSK21,p18-20	CD59 molecule, complement regulatory protein
ENSG00000135404	CD63	ME491,MLA1,TSPAN30	CD63 molecule
ENSG00000123146	CD97	TM7LN1	CD97 molecule
ENSG00000117399	CDC20	CDC20A,p55CDC	cell division cycle 20 homolog (S. cerevisiae)
ENSG00000004897	CDC27	ANAPC3,APC3,D0S1430E,D17S978E	cell division cycle 27 homolog (S. cerevisiae)
ENSG00000179604	CDC42EP4	BORG4,CEP4,KAIA1777,MGC17125,MGC3740	CDC42 effector protein (Rho GTPase binding) 4
ENSG00000093009	CDC45L	CDC45,CDC45L,CDC45L2	cell division cycle 45 homolog (S. cerevisiae)
ENSG00000096401	CDC5L	CDC5,CEF1,hCDC5,PCDC5RP	CDC5 cell division cycle 5-like (S. pombe)
ENSG00000184661	CDCA2	Repo-Man	cell division cycle associated 2
ENSG00000146670	CDCA5		cell division cycle associated 5
ENSG00000134690	CDCA8	BOR,DasraB,FLJ12042,MESRGP	cell division cycle associated 8
ENSG00000170558	CDH2	CD325,CDHN,NCAD	cadherin 2, type 1, N-cadherin (neuronal)
ENSG00000124215	CDH26	VR20	cadherin 26
ENSG00000108465	CDK5RAP3	C53,FLJ13660,HSF-27,IC53,LZAP,MST016,OK/SW-cl.114	CDK5 regulatory subunit associated protein 3
ENSG00000134058	CDK7	CAK,CAK1,CDKN7,MO15,STK1	cyclin-dependent kinase 7
ENSG00000136807	CDK9	C-2k,CDC2L4,PITALRE,TAK	cyclin-dependent kinase 9
ENSG00000008086	CDKL5	STK9	cyclin-dependent kinase-like 5
ENSG00000140743	CDR2	CDR62,Yo	cerebellar degeneration-related protein 2, 62kDa
ENSG00000109089	CDR2L	HUMPPA	cerebellar degeneration-related protein 2-like
ENSG00000167513	CDT1	DUP,RIS2	chromatin licensing and DNA replication factor 1
ENSG00000099954	CECR2	KIAA1740	cat eye syndrome chromosome region, candidate 2
ENSG00000149187	CELF1	BRUNOL2,CUG-BP,CUGBP,CUGBP1,EDEN-BP,hNab50,NAB50,NAPOR	CUGBP, Elav-like family member 1
ENSG00000188312	CENPP	CENP-P,RP11-19J3.3	centromere protein P
ENSG00000166037	CEP57	KIAA0092,Translokin,TSP57	centrosomal protein 57kDa
ENSG00000143375	CGN	KIAA1319	cingulin
ENSG00000159259	CHAF1B	CAF-1,CAF1,CAF1A,CAF1P60,MPHOSPH7,MPP7	chromatin assembly factor 1, subunit B (p60)
ENSG00000131778	CHD1L	ALC1	chromodomain helicase DNA binding protein 1-like
ENSG00000183765	CHEK2	bA444G7,CDS1,CHK2,HuCds1,PP1425,RAD53	CHK2 checkpoint homolog (S. pombe)
ENSG00000203668	CHML	REP-2	choroideremia-like (Rab escort protein 2)
ENSG00000131165	CHMP1A	CHMP1,KIAA0047,PCOLN3,PRSM1,Vps46A	chromatin modifying protein 1A
ENSG00000164695	CHMP4C	MGC22825,Shax3,VPS32C	chromatin modifying protein 4C
ENSG00000176108	CHMP6	FLJ11749,VPS20	chromatin modifying protein 6
ENSG00000054938	CHRDL2	BNF1	chordin-like 2
ENSG00000175040	CHST2	C6ST	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
ENSG00000213341	CHUK	IkBKA,IKK-alpha,IKK1,IKKA,NFKBIKA,TCF16	conserved helix-loop-helix ubiquitous kinase
ENSG00000187288	CIDEC	CIDE-3,FLJ20871,Fsp27	cell death-inducing DFFA-like effector c
ENSG00000136026	CKAP4	CLIMP-63,ERGIC-63,P63	cytoskeleton-associated protein 4
ENSG00000121940	CLCC1	MCLC	chloride channel CLIC-like 1
ENSG00000114859	CLCN2	CLC2,EJM6	chloride channel 2
ENSG00000181885	CLDN7	CEPTRL2,CPETRL2,Hs.84359	claudin 7
ENSG00000169583	CLIC3		chloride intracellular channel 3
ENSG00000169504	CLIC4	CLIC4L,DKFZP566G223,H1,huH1,P64H1	chloride intracellular channel 4
ENSG00000106665	CLIP2	CLIP,CLIP-115,CYLN2,KIAA0291,WBSCR3,WBSCR4,WSCR3,WSCR4	CAP-GLY domain containing linker protein 2
ENSG00000134852	CLOCK	bHLHe8,KAT13D,KIAA0334	clock homolog (mouse)
ENSG00000140932	CMTM2	CKLFSF2,FLJ25732,MGC39436	CKLF-like MARVEL transmembrane domain containing 2
ENSG00000176571	CNBD1	FLJ35802	cyclic nucleotide binding domain containing 1
ENSG00000100528	CNIH	CNIH1,CNIL,TGAM77	cornichon homolog (Drosophila)
ENSG00000080802	CNOT4	CLONE243,NOT4,NOT4H	CCR4-NOT transcription complex, subunit 4
ENSG00000173786	CNP		2',3'-cyclic nucleotide 3' phosphodiesterase
ENSG00000242689	CNTF		ciliary neurotrophic factor
