Negative
ENSG00000175899	A2M	CPAMD5,FWP007,S863-7	alpha-2-macroglobulin
ENSG00000080166	DCT	TYRP2	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)
ENSG00000164822	DEFA6	DEF6,HD-6	defensin, alpha 6, Paneth cell-specific
ENSG00000137145	DENND4C	bA513M16.3,C9orf55,C9orf55B,FLJ20686	DENN/MADD domain containing 4C
ENSG00000175084	DES	CMD1I,CSM1,CSM2	desmin
ENSG00000130826	DKC1	DKC,dyskerin,NAP57,NOLA4,XAP101	dyskeratosis congenita 1, dyskerin
ENSG00000132535	DLG4	PSD-95,PSD95,SAP-90,SAP90	discs, large homolog 4 (Drosophila)
ENSG00000100206	DMC1	LIM15	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)
ENSG00000198947	DMD	BMD,DXS142,DXS164,DXS206,DXS230,DXS239,DXS268,DXS269,DXS270,DXS272	dystrophin
ENSG00000015413	DPEP1		dipeptidase 1 (renal)
ENSG00000147647	DPYS	DHPase	dihydropyrimidinase
ENSG00000134755	DSC2	CDHF2,DSC3	desmocollin 2
ENSG00000127884	ECHS1	SCEH	enoyl CoA hydratase, short chain, 1, mitochondrial
ENSG00000055332	EIF2AK2	EIF2AK1,PKR,PRKR	eukaryotic translation initiation factor 2-alpha kinase 2
ENSG00000163435	ELF3	EPR-1,ERT,ESE-1,ESX	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
ENSG00000049540	ELN	SVAS,WBS,WS	elastin
ENSG00000186998	EMID1	EMI5,EMU1,hEmu1	EMI domain containing 1
ENSG00000138080	EMILIN1	DKFZp586M121,gp115	elastin microfibril interfacer 1
ENSG00000106991	ENG	CD105,END,HHT1,ORW,ORW1	endoglin
ENSG00000154269	ENPP3	B10,CD203c,gp130RB13-6,PD-IBETA,PDNP3	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSG00000100393	EP300	KAT3B,p300	E1A binding protein p300
ENSG00000159023	EPB41	4.1R,EL1	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
ENSG00000141736	ERBB2	CD340,HER-2,HER2,NEU,NGL	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ENSG00000091831	ESR1	Era,ESR,NR3A1	estrogen receptor 1
ENSG00000010030	ETV7	TEL-2,TEL2	ets variant 7
ENSG00000108799	EZH1	KIAA0388,KMT6B	enhancer of zeste homolog 1 (Drosophila)
ENSG00000131187	F12		coagulation factor XII (Hageman factor)
ENSG00000124491	F13A1	F13A	coagulation factor XIII, A1 polypeptide
ENSG00000143278	F13B	FXIIIB	coagulation factor XIII, B polypeptide
ENSG00000163586	FABP1	L-FABP	fatty acid binding protein 1, liver
ENSG00000170323	FABP4	A-FABP,aP2	fatty acid binding protein 4, adipocyte
ENSG00000165566	FAM123A	FLJ25477	family with sequence similarity 123A
ENSG00000039523	FAM65A	FLJ13725	family with sequence similarity 65, member A
ENSG00000105202	FBL	FIB,FLRN,RNU3IP1	fibrillarin
ENSG00000077942	FBLN1	FBLN	fibulin 1
ENSG00000163520	FBLN2		fibulin 2
ENSG00000140092	FBLN5	ARMD3,DANCE,EVEC,UP50	fibulin 5
ENSG00000166147	FBN1	FBN,MASS,MFS1,OCTD,SGS,WMS	fibrillin 1
ENSG00000165140	FBP1	FBP	fructose-1,6-bisphosphatase 1
ENSG00000104921	FCER2	CD23,CD23A,CLEC4J,FCE2	Fc fragment of IgE, low affinity II, receptor for (CD23)
ENSG00000090920	FCGBP	FC(GAMMA)BP	Fc fragment of IgG binding protein
ENSG00000072694	FCGR2B	CD32,CD32B,FCG2,FCGR2	Fc fragment of IgG, low affinity IIb, receptor (CD32)
ENSG00000104870	FCGRT	alpha-chain,FCRN	Fc fragment of IgG, receptor, transporter, alpha
ENSG00000085265	FCN1	FCNM	ficolin (collagen/fibrinogen domain containing) 1
ENSG00000171564	FGB		fibrinogen beta chain
ENSG00000022267	FHL1	bA535K18.1,FHL1B,FLH1A,KYO-T,MGC111107,SLIM1,XMPMA	four and a half LIM domains 1
ENSG00000007933	FMO3		flavin containing monooxygenase 3
ENSG00000086205	FOLH1	FOLH,GCP2,GCPII,NAALAD1,NAALAdase,PSM,PSMA	folate hydrolase (prostate-specific membrane antigen) 1
ENSG00000150907	FOXO1	FKH1,FKHR,FOXO1A	forkhead box O1
ENSG00000150201	FXYD4	CHIF	FXYD domain containing ion transport regulator 4
ENSG00000106648	GALNTL5	GALNT15	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5
ENSG00000172020	GAP43	B-50,PP46	growth associated protein 43
ENSG00000145321	GC	DBP,hDBP,VDBP	group-specific component (vitamin D binding protein)
ENSG00000174500	GCET2	MGC40441	germinal center expressed transcript 2
ENSG00000131095	GFAP	FLJ45472	glial fibrillary acidic protein
ENSG00000133574	GIMAP4	FLJ11110,HIMAP4,IMAP4	GTPase, IMAP family member 4
ENSG00000102393	GLA	GALA	galactosidase, alpha
ENSG00000135821	GLUL	GLNS	glutamate-ammonia ligase
ENSG00000087460	GNAS	GNAS1,GNASXL,GPSA,NESP,NESP55,SCG6	GNAS complex locus
ENSG00000143167	GPA33	A33	glycoprotein A33 (transmembrane)
ENSG00000171723	GPHN	KIAA1385	gephyrin
ENSG00000176153	GPX2	GSHPX-GI	glutathione peroxidase 2 (gastrointestinal)
ENSG00000120251	GRIA2	GLUR2,GLURB	glutamate receptor, ionotropic, AMPA 2
ENSG00000134202	GSTM3	GST5	glutathione S-transferase mu 3 (brain)
ENSG00000099984	GSTT2		glutathione S-transferase theta 2
ENSG00000133433	GSTT2B	GSTT2P	glutathione S-transferase theta 2B (gene/pseudogene)
ENSG00000056998	GYG2	GN-2	glycogenin 2
ENSG00000170180	GYPA	CD235a,GPA,MN,MNS	glycophorin A (MNS blood group)
ENSG00000100453	GZMB	CCPI,CGL-1,CGL1,CSP-B,CSPB,CTLA1,CTSGL1,HLP,SECT	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)
ENSG00000145681	HAPLN1	CRTL1	hyaluronan and proteoglycan link protein 1
ENSG00000206172	HBA1		hemoglobin, alpha 1
ENSG00000188536	HBA2		hemoglobin, alpha 2
ENSG00000111727	HCFC2	HCF-2	host cell factor C2
ENSG00000180353	HCLS1	CTTNL,HS1	hematopoietic cell-specific Lyn substrate 1
ENSG00000061273	HDAC7	DKFZP586J0917,HDAC7A	histone deacetylase 7
ENSG00000156515	HK1		hexokinase 1
ENSG00000241106	HLA-DOB		major histocompatibility complex, class II, DO beta
ENSG00000196126	HLA-DRB1	HLA-DR1B	major histocompatibility complex, class II, DR beta 1
ENSG00000108753	HNF1B	HNF1beta,LFB3,MODY5,TCF2,VHNF1	HNF1 homeobox B
ENSG00000143452	HORMAD1	CT46,DKFZP434A1315	HORMA domain containing 1
ENSG00000176635	HORMAD2	MGC26710	HORMA domain containing 2
ENSG00000164120	HPGD	SDR36C1	hydroxyprostaglandin dehydrogenase 15-(NAD)
ENSG00000113749	HRH2		histamine receptor H2
ENSG00000106211	HSPB1	Hs.76067,Hsp25,HSP27,HSP28	heat shock 27kDa protein 1
ENSG00000090339	ICAM1	BB2,CD54	intercellular adhesion molecule 1
ENSG00000185885	IFITM1	9-27,CD225,IFI17	interferon induced transmembrane protein 1 (9-27)
ENSG00000119650	IFT43	C14orf179,FLJ32173,MGC16028	intraflagellar transport 43 homolog (Chlamydomonas)
ENSG00000146678	IGFBP1	AFBP,hIGFBP-1,IBP1,IGF-BP25,PP12	insulin-like growth factor binding protein 1
ENSG00000162729	IGSF8	CD316,CD81P3,EWI2,PGRL	immunoglobulin superfamily, member 8
ENSG00000161405	IKZF3	Aiolos,ZNFN1A3	IKAROS family zinc finger 3 (Aiolos)
ENSG00000150782	IL18	IGIF,IL-18,IL-1g,IL1F4	interleukin 18 (interferon-gamma-inducing factor)
ENSG00000136689	IL1RN	ICIL-1RA,IL-1RN,IL1F3,IL1RA,IRAP,MGC10430	interleukin 1 receptor antagonist
ENSG00000137033	IL33	C9orf26,DKFZp586H0523,DVS27,IL1F11,NF-HEV	interleukin 33
ENSG00000148798	INA	NEF5,NF-66	internexin neuronal intermediate filament protein, alpha
ENSG00000168395	ING5	FLJ23842,p28ING5	inhibitor of growth family, member 5
ENSG00000254647	INS		insulin
ENSG00000137265	IRF4	LSIRF,MUM1	interferon regulatory factor 4
ENSG00000140968	IRF8	ICSBP,ICSBP1,IRF-8	interferon regulatory factor 8
ENSG00000167930	ITFG3	C16orf9,DKFZP761D0211,FLJ32603	integrin alpha FG-GAP repeat containing 3
ENSG00000091409	ITGA6	CD49f	integrin, alpha 6
ENSG00000169896	ITGAM	CD11B,CR3A,MAC-1	integrin, alpha M (complement component 3 receptor 3 subunit)
ENSG00000140678	ITGAX	CD11C	integrin, alpha X (complement component 3 receptor 4 subunit)
ENSG00000160255	ITGB2	CD18,LFA-1,MAC-1,MFI7	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)
ENSG00000158764	ITLN2	HL-2	intelectin 2
ENSG00000188385	JAKMIP3	bA140A10.5,C10orf14,C10orf39,FLJ37857,KIAA4091,NECC2	Janus kinase and microtubule interacting protein 3
ENSG00000243789	JMJD7		jumonji domain containing 7
ENSG00000168970	JMJD7-PLA2G4B		JMJD7-PLA2G4B readthrough
ENSG00000104369	JPH1	JP-1	junctophilin 1
ENSG00000173801	JUP	CTNNG,DP3,DPIII,PDGB,PKGB	junction plakoglobin
ENSG00000120457	KCNJ5	CIR,GIRK4,KATP1,Kir3.4	potassium inwardly-rectifying channel, subfamily J, member 5
ENSG00000147050	KDM6A	UTX	lysine (K)-specific demethylase 6A
ENSG00000100441	KHNYN	KIAA0323	KH and NYN domain containing
ENSG00000248857	KIAA1210		KIAA1210
ENSG00000196169	KIF19	FLJ37300,KIF19A	kinesin family member 19
ENSG00000157404	KIT	C-Kit,CD117,PBT,SCFR	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
ENSG00000130487	KLHDC7B	MGC16635	kelch domain containing 7B
ENSG00000167751	KLK2		kallikrein-related peptidase 2
ENSG00000142515	KLK3	APS,PSA	kallikrein-related peptidase 3
ENSG00000113889	KNG1	BDK,KNG	kininogen 1
ENSG00000186395	KRT10	CK10,K10,KPP	keratin 10
ENSG00000171401	KRT13	CK13,K13,MGC161462,MGC3781	keratin 13
ENSG00000186847	KRT14	EBS3,EBS4	keratin 14
ENSG00000171346	KRT15	CK15,K15,K1CO	keratin 15
ENSG00000128422	KRT17	PCHC1	keratin 17
ENSG00000131885	KRT17P1		keratin 17 pseudogene 1
ENSG00000111057	KRT18		keratin 18
ENSG00000171345	KRT19	CK19,K19,K1CS,MGC15366	keratin 19
ENSG00000171431	KRT20	CK20,K20,MGC35423	keratin 20
ENSG00000170477	KRT4	CK4,CYK4,K4	keratin 4
ENSG00000186081	KRT5	EBS2,KRT5A	keratin 5
ENSG00000135480	KRT7	CK7,K2C7,K7,SCL	keratin 7
ENSG00000170421	KRT8	CARD2,CK8,CYK8,K2C8,K8,KO	keratin 8
ENSG00000086730	LAT2	HSPC046,LAB,NTAL,WBSCR15,WBSCR5,WSCR5	linker for activation of T cells family, member 2
ENSG00000157578	LCA5L	C21orf13,MGC33295	Leber congenital amaurosis 5-like
ENSG00000182866	LCK		lymphocyte-specific protein tyrosine kinase
ENSG00000148346	LCN2	24p3,NGAL	lipocalin 2
ENSG00000136167	LCP1	CP64,L-PLASTIN,LC64P,PLS2	lymphocyte cytosolic protein 1 (L-plastin)
ENSG00000205076	LGALS7	GAL7,LGALS7A,PIG1,TP53I1	lectin, galactoside-binding, soluble, 7
ENSG00000178934	LGALS7B	GAL7	lectin, galactoside-binding, soluble, 7B
ENSG00000138039	LHCGR	HHG,LCGR,LGR2,LHR,ULG5	luteinizing hormone/choriogonadotropin receptor
ENSG00000171236	LRG1	LRG	leucine-rich alpha-2-glycoprotein 1
ENSG00000121931	LRIF1	C1orf103,FLJ11269,RIF1	ligand dependent nuclear receptor interacting factor 1
ENSG00000118308	LRMP	JAW1	lymphoid-restricted membrane protein
ENSG00000125872	LRRN4	C20orf75,dJ1056H1.1,NLRR4	leucine rich repeat neuronal 4
ENSG00000254087	LYN	JTK8	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
ENSG00000090382	LYZ		lysozyme
ENSG00000214107	MAGEB1	CT3.1,DAM10,MAGE-Xp,MAGEL1,MGC9322	melanoma antigen family B, 1
ENSG00000172469	MANEA	FLJ12838,mandaselin	mannosidase, endo-alpha
ENSG00000078018	MAP2	MAP2A,MAP2B,MAP2C	microtubule-associated protein 2
ENSG00000127241	MASP1	CRARF,MASP,PRSS5	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)
ENSG00000198125	MB	PVALB	myoglobin
ENSG00000076770	MBNL3	CHCR,FLJ11316,MBLX39,MBXL	muscleblind-like 3 (Drosophila)
ENSG00000139915	MDGA2	MAMDC1	MAM domain containing glycosylphosphatidylinositol anchor 2
ENSG00000065833	ME1		malic enzyme 1, NADP(+)-dependent, cytosolic
ENSG00000106484	MEST	PEG1	mesoderm specific transcript homolog (mouse)
ENSG00000165819	METTL3	M6A,Spo8	methyltransferase like 3
ENSG00000117122	MFAP2	MAGP,MAGP-1	microfibrillar-associated protein 2
ENSG00000197614	MFAP5	MAGP2,MP25	microfibrillar associated protein 5
ENSG00000140545	MFGE8	BA46,EDIL1,hP47,HsT19888,MFG-E8,OAcGD3S,SED1,SPAG10	milk fat globule-EGF factor 8 protein
ENSG00000101871	MID1	FXY,OS,RNF59,TRIM18	midline 1 (Opitz/BBB syndrome)
ENSG00000100985	MMP9	CLG4B	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)
ENSG00000120586	MRC1	bA541I19.1,CD206,CLEC13D,CLEC13DL,MRC1L1	mannose receptor, C type 1
ENSG00000156738	MS4A1	B1,Bp35,CD20,MS4A2	membrane-spanning 4-domains, subfamily A, member 1
ENSG00000038945	MSR1	CD204,SCARA1	macrophage scavenger receptor 1
ENSG00000120832	MTERFD3	FLJ14062	MTERF domain containing 3
ENSG00000185499	MUC1	CD227,PEM,PUM	mucin 1, cell surface associated
ENSG00000173702	MUC13	DRCC1	mucin 13, cell surface associated
ENSG00000198788	MUC2		mucin 2, oligomeric mucus/gel-forming
ENSG00000145113	MUC4		mucin 4, cell surface associated
ENSG00000215182	MUC5AC	MUC5	mucin 5AC, oligomeric mucus/gel-forming
ENSG00000117983	MUC5B	MG1,MUC5	mucin 5B, oligomeric mucus/gel-forming
ENSG00000171195	MUC7	FLJ27047,MG2	mucin 7, secreted
ENSG00000109061	MYH1	MGC133384,MYHa,MyHC-2X/D,MYHSA1	myosin, heavy chain 1, skeletal muscle, adult
ENSG00000133392	MYH11	SMHC,SMMHC	myosin, heavy chain 11, smooth muscle
ENSG00000006788	MYH13	MyHC-eo	myosin, heavy chain 13, skeletal muscle
ENSG00000125414	MYH2	MYH2A,MYHas8,MyHC-2A,MyHC-IIa,MYHSA2	myosin, heavy chain 2, skeletal muscle, adult
ENSG00000141048	MYH4	MYH2B,MyHC-2B,MyHC-IIb	myosin, heavy chain 4, skeletal muscle
ENSG00000197616	MYH6		myosin, heavy chain 6, cardiac muscle, alpha
ENSG00000092054	MYH7	CMD1S,CMH1,MPD1	myosin, heavy chain 7, cardiac muscle, beta
ENSG00000133020	MYH8	MyHC-peri,MyHC-pn	myosin, heavy chain 8, skeletal muscle, perinatal
ENSG00000196586	MYO6	DFNA22,DFNB37,KIAA0389	myosin VI
ENSG00000103154	NECAB2	EFCBP2	N-terminal EF-hand calcium binding protein 2
ENSG00000132688	NES	FLJ21841	nestin
ENSG00000204386	NEU1	NEU	sialidase 1 (lysosomal sialidase)
ENSG00000162599	NFIA	KIAA1439,NFI-L	nuclear factor I/A
ENSG00000144802	NFKBIZ	FLJ34463,MAIL	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
